17,7682647;1;;R1-R2;*10^4;10000
17,7681503;2;;-0,0001144;-1,144;
17,7684593;3;;0,000309;3,09;
17,7680625;4;;-0,0003968;-3,968;
17,7678813;5;;-0,0001812;-1,812;
17,768341;6;;0,0004597;4,597;
17,7685985;7;;0,0002575;2,575;
17,7683563;8;;-0,0002422;-2,422;
17,7680778;9;;-0,0002785;-2,785;
17,7679672;10;;-0,0001106;-1,106;
17,7684936;11;;0,0005264;5,264;
17,7685184;12;;2,48E-05;0,248;
17,7682628;13;;-0,0002556;-2,556;
17,7683963;14;;0,0001335;1,335;
17,7685985;15;;0,0002022;2,022;
17,7684288;16;;-0,0001697;-1,697;
17,7681407;17;;-0,0002881;-2,881;
17,7679061;18;;-0,0002346;-2,346;
17,7679023;19;;-3,80E-06;-0,038;
17,768301;20;;0,0003987;3,987;
17,7686386;21;;0,0003376;3,376;
17,7682399;22;;-0,0003987;-3,987;
17,7683944;23;;0,0001545;1,545;
17,7678585;24;;-0,0005359;-5,359;
17,7679157;25;;5,72E-05;0,572;
17,7677383;26;;-0,0001774;-1,774;
17,7684173;27;;0,000679;6,79;
17,7683963;28;;-2,10E-05;-0,21;
17,768402;29;;5,70E-06;0,057;
17,7689476;30;;0,0005456;5,456;
17,7685394;31;;-0,0004082;-4,082;
17,7681198;32;;-0,0004196;-4,196;
17,7681026;33;;-1,72E-05;-0,172;
17,7682228;34;;0,0001202;1,202;
17,7682037;35;;-1,91E-05;-0,191;
17,7676677;36;;-0,000536;-5,36;
17,7680912;37;;0,0004235;4,235;
17,7682971;38;;0,0002059;2,059;
17,7682342;39;;-6,29E-05;-0,629;
17,7680091;40;;-0,0002251;-2,251;
17,7680759;41;;6,68E-05;0,668;
17,7684402;42;;0,0003643;3,643;
17,7683582;43;;-8,20E-05;-0,82;
17,7681655;44;;-0,0001927;-1,927;
17,7680892;45;;-7,63E-05;-0,763;
17,768013;46;;-7,62E-05;-0,762;
17,7684612;47;;0,0004482;4,482;
