x y ey ex 
17.9 0.615384615384615	0.0857988165680474 0.01
18.17 0.571428571428571	0.102040816326531 0.01
18.37 0.571428571428571	0.102040816326531 0.01
18.52 0.619047619047619	0.106575963718821 0.01
18.6 0.636363636363636	0.103305785123967 0.01
18.81 0.666666666666667	0.111111111111111 0.01
19.1 0.705882352941177	0.118223760092272 0.01
19.18 0.740740740740741	0.114883401920439 0.01
19.26 0.8	0.065 0.01
19.68 0.954545454545455	0.0661157024793388 0.01
19.78 0.867924528301887	0.0516197935208259 0.01
19.93 0.827586206896552	0.0457788347205707 0.01
20.12 0.806451612903226	0.0421436004162331 0.01
20.34 0.787878787878788	0.0390266299357208 0.01
20.5 0.764705882352941	0.03719723183391 0.01
21.27 0.764705882352941	0.03719723183391 0.01
