x y ey ex
18.79  0.268 0.0001 0.01
20.10   0.294 0.0001 0.01
20.20   0.276  0.0001 0.01
18.90   0.310    0.0001 0.01
19.26  0.430    0.0001 0.01
19.05  0.350   0.0001 0.01
18.95  0.310   0.0001 0.01
18.96  0.320    0.0001 0.01
19.45  0.465 0.0001 0.01
19.33  0.444  0.0001 0.01
19.26  0.424  0.0001 0.01
19.23  0.418 0.0001 0.01
19.15  0.390   0.0001 0.01
18.90   0.300    0.0001 0.01
19.10   0.370   0.0001 0.01
19.79  0.400    0.0001 0.01
19.70  0.420   0.0001 0.01
19.97  0.340   0.0001 0.01
19.98  0.337  0.0001 0.01
20.40   0.230   0.0001 0.01
